15_05_17:39 __main__ INFO: Loaded test dataset for protocol 2 with len:18800, labels:11
15_05_17:39 __main__ INFO: Loading base models for protocol 2, bce
15_05_17:39 __main__ INFO: Taking model from epoch 50 that achieved best score 0.9911968253968254
15_05_17:39 __main__ INFO: Extracting base scores for protocol 2, bce
15_05_17:42 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_30.npz
15_05_17:42 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_31.npz
15_05_17:42 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_32.npz
15_05_17:42 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_33.npz
15_05_17:42 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_34.npz
15_05_17:42 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_35.npz
15_05_17:42 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_36.npz
15_05_17:42 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_37.npz
15_05_17:43 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_38.npz
15_05_17:43 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_39.npz
15_05_17:43 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_40.npz
15_05_17:43 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_41.npz
15_05_17:43 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_42.npz
15_05_17:43 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_43.npz
15_05_17:43 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_44.npz
15_05_17:43 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_45.npz
15_05_17:43 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_46.npz
15_05_17:43 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_47.npz
15_05_17:43 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_48.npz
15_05_17:44 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_49.npz
15_05_17:44 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_50.npz
15_05_17:44 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_51.npz
15_05_17:44 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_52.npz
15_05_17:44 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_53.npz
15_05_17:44 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_54.npz
15_05_17:44 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_55.npz
15_05_17:44 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_56.npz
15_05_17:44 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_57.npz
15_05_17:44 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_58.npz
15_05_17:44 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_59.npz
15_05_17:45 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_60.npz
15_05_17:45 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_61.npz
15_05_17:45 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_62.npz
15_05_17:45 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_63.npz
15_05_17:45 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_64.npz
15_05_17:45 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_65.npz
15_05_17:45 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_66.npz
15_05_17:45 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_67.npz
15_05_17:45 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_68.npz
15_05_17:45 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_69.npz
15_05_17:46 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_70.npz
15_05_17:46 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_71.npz
15_05_17:46 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_72.npz
15_05_17:46 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_73.npz
15_05_17:46 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_74.npz
15_05_17:46 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_75.npz
15_05_17:46 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_76.npz
15_05_17:46 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_77.npz
15_05_17:46 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_78.npz
15_05_17:46 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_79.npz
15_05_17:46 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_80.npz
15_05_17:47 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_81.npz
15_05_17:47 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_82.npz
15_05_17:47 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_83.npz
15_05_17:47 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_84.npz
15_05_17:47 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_85.npz
15_05_17:47 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_86.npz
15_05_17:47 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_87.npz
15_05_17:47 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_88.npz
15_05_17:47 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_89.npz
15_05_17:47 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_90.npz
15_05_17:47 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_91.npz
15_05_17:48 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_92.npz
15_05_17:48 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_93.npz
15_05_17:48 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_94.npz
15_05_17:48 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_95.npz
15_05_17:48 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_96.npz
15_05_17:48 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_97.npz
15_05_17:48 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_98.npz
15_05_17:48 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_99.npz
15_05_17:48 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_100.npz
15_05_17:48 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_101.npz
15_05_17:48 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_102.npz
15_05_17:49 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_103.npz
15_05_17:49 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_104.npz
15_05_17:49 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_105.npz
15_05_17:49 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_106.npz
15_05_17:49 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_107.npz
15_05_17:49 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_108.npz
15_05_17:49 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_109.npz
15_05_17:49 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_110.npz
15_05_17:49 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_111.npz
15_05_17:49 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_112.npz
15_05_17:50 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_113.npz
15_05_17:50 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_114.npz
15_05_17:50 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_115.npz
15_05_17:50 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_116.npz
15_05_17:50 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_117.npz
15_05_17:50 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_118.npz
15_05_17:50 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_119.npz
15_05_17:50 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_120.npz
15_05_17:50 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_121.npz
15_05_17:50 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_122.npz
15_05_17:50 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_123.npz
15_05_17:51 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_124.npz
15_05_17:51 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_125.npz
15_05_17:51 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_126.npz
15_05_17:51 __main__ INFO: Finished processing protocol 2, bce
